ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2_F,P_0A2_M,P_3A5_F,P_3A5_M,P_6A11_F,P_6A11_M,P_12A14_F,P_12A14_M,P_60YMAS,P_60YMAS_F,P_60YMAS_M,POB0_14,P3HLINHE,P3HLINHE_F,P3HLINHE_M,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCON_LIMI,PCLIM_PMEN,GRAPROES,GRAPROES_F,GRAPROES_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PHOGJEF_F,PHOGJEF_M,VIVTOT,VPH_PISOTI,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN,VPH_SNBIEN,VPH_RADIO,VPH_TV,CVEGEO,AMBITO,SUP_HAS,LIT1000,LIT5000,MANGLAR1km,MANGLAR5km,SUP_MAG_HA,CUENTA_ATLAS,ANIO_ATLAS,CUENTA_PPC,CUENTA_UPC,X,Y
02,Baja California,001,Ensenada,2221,Playa Dorada [Campo],"116°39'17.252"" W","31°43'20.259"" N",-006,74,37,37,1,0,4,2,1,1,1,2,26,15,11,12,0,0,0,0,2,1,1,4,18,3,12.46,12.43,12.48,0,0,0,29,38,36,241,0,0,4,1,0,20,34,020012221,Rural,53.7811,1,1,0,0,0,1,2011,1,1,-116.65479222222223,31.722294166666664
02,Baja California,001,Ensenada,2487,Ejido Ley Federal de Reforma Agraria (El Tigre),"116°43'57.756"" W","31°56'55.613"" N",0189,87,41,46,3,3,0,5,7,2,2,0,9,4,5,22,0,0,0,4,0,0,0,2,9,1,11.4,11.07,11.67,0,0,0,14,16,71,36,0,0,0,0,0,20,24,020012487,Rural,11.8011,0,1,0,0,0,1,2011,1,1,-116.73271,31.94878138888889
02,Baja California,001,Ensenada,2502,Villas de San Miguel,"116°44'17.400"" W","31°54'24.270"" N",0096,68,33,35,1,0,1,1,0,0,2,1,18,10,8,6,0,0,0,2,0,0,0,1,3,3,13.09,13.67,12.57,0,0,0,10,24,44,49,0,0,0,0,0,22,26,020012502,Rural,24.2157,1,1,0,0,0,1,2011,1,1,-116.73816666666667,31.906741666666665
02,Baja California,001,Ensenada,2691,Baja Mar San Diego,"116°52'16.615"" W","32°01'10.965"" N",0086,134,68,66,0,0,0,0,0,1,0,0,104,54,50,1,0,0,0,0,0,0,0,4,9,6,14.31,13.88,14.75,0,0,0,8,24,110,382,0,0,0,0,0,71,78,020012691,Rural,83.4276,1,1,0,0,0,1,2011,1,1,-116.87128194444443,32.0197125
02,Baja California,001,Ensenada,3171,Rancho Packard,"116°41'46.400"" W","31°43'47.396"" N",0081,61,31,30,0,1,2,1,1,1,1,0,29,16,13,7,0,0,0,0,1,0,1,1,14,1,14.37,15.26,13.48,0,0,0,36,16,45,90,0,0,0,0,0,34,35,020013171,Rural,21.6694,1,1,0,0,0,1,2011,1,1,-116.69622222222223,31.72983222222222
02,Baja California,001,Ensenada,3173,Lomas del Mar,"116°41'03.256"" W","31°43'30.976"" N",0078,36,17,19,1,0,0,1,0,0,0,0,28,13,15,2,0,0,0,0,1,1,0,3,26,0,11.97,11.63,12.28,0,0,0,32,15,21,36,0,0,3,13,0,16,19,020013173,Rural,8.1054,1,1,0,0,0,1,2011,1,1,-116.68423777777778,31.72527111111111
02,Baja California,001,Ensenada,3174,Puerto Escondido,"116°41'39.086"" W","31°43'15.941"" N",0249,54,25,29,2,1,1,0,1,1,0,0,26,12,14,6,0,0,0,0,0,0,0,5,13,0,16.83,16.62,17,0,0,0,52,5,49,49,0,0,0,0,0,26,26,020013174,Rural,16.9949,1,1,0,0,0,1,2011,1,1,-116.69419055555556,31.72109472222222
02,Baja California,001,Ensenada,3283,Baja Beach and Tennis Club,"116°38'12.691"" W","31°44'32.190"" N",-005,17,6,11,0,0,0,1,0,0,0,0,12,5,7,1,0,0,0,0,0,0,0,2,2,2,16.69,16.33,16.9,0,0,0,16,5,12,143,0,0,0,0,0,8,9,020013283,Rural,32.4846,1,1,0,0,0,1,2011,1,1,-116.63685861111112,31.742275
02,Baja California,001,Ensenada,3344,La Misión [Campo Turístico],"116°52'30.318"" W","32°05'25.170"" N",0050,117,63,54,1,0,0,0,4,2,3,2,60,32,28,12,0,0,0,0,1,1,0,6,26,2,13.04,13.05,13.02,1,1,0,66,41,76,125,0,0,0,3,0,49,59,020013344,Rural,18.7516,1,1,0,0,0,1,2011,1,1,-116.87508833333332,32.090325
02,Baja California,001,Ensenada,3355,Escorpión [Centro Recreativo],"116°33'43.024"" W","31°47'02.571"" N",0157,618,312,306,20,18,16,25,26,44,29,17,62,33,29,195,0,0,0,11,6,3,3,37,51,8,9.01,8.83,9.21,6,5,1,129,139,479,212,2,13,46,9,0,89,141,020013355,Rural,73.3014,0,1,0,0,0,1,2011,1,1,-116.56195111111111,31.784047500000003
02,Baja California,001,Ensenada,3708,Colonia Santa Isabel (Cañón San Carlos),"116°34'41.034"" W","31°45'22.757"" N",0008,332,140,192,9,6,7,6,13,10,5,3,40,15,25,59,0,0,0,81,1,1,0,20,47,3,9.06,9.2,8.98,1,1,0,88,50,238,131,1,4,1,6,1,62,78,020013708,Rural,16.806,0,1,0,0,0,1,2011,1,1,-116.578065,31.75632138888889
02,Baja California,001,Ensenada,3744,Colonia Benito Juárez,"116°34'28.382"" W","31°44'31.583"" N",0008,303,161,142,15,7,16,8,26,20,11,10,8,3,5,113,8,6,2,202,4,2,2,8,13,5,6.11,5.86,6.34,2,0,2,138,105,198,84,4,0,6,15,0,24,49,020013744,Rural,4.2022,0,1,0,0,0,1,2011,1,1,-116.57455055555555,31.74210638888889
02,Baja California,001,Ensenada,3760,Parcela Número Ciento Cinco (Ejido Nacionalista),"116°35'08.955"" W","31°43'31.010"" N",0015,294,140,154,10,5,10,14,20,22,7,10,17,7,10,98,5,4,1,114,1,1,0,5,17,1,7.84,8.24,7.48,1,0,1,45,59,235,116,5,26,63,35,0,38,62,020013760,Rural,19.0508,0,1,0,0,0,1,2011,1,1,-116.58582083333333,31.725280555555553
02,Baja California,001,Ensenada,3783,Parcela Número Ciento Treinta y Nueve (Ejido Nacionalista),"116°37'02.676"" W","31°42'14.437"" N",0012,47,23,24,1,2,1,0,1,4,2,0,2,1,1,11,0,0,0,0,0,0,0,0,0,0,8.81,10.11,7.5,0,0,0,17,3,44,30,1,2,0,1,0,12,14,020013783,Rural,11.9553,0,1,0,0,0,1,2011,1,1,-116.61740999999999,31.704010277777776
02,Baja California,001,Ensenada,3805,Santa Juquila [Colonia],"116°35'16.748"" W","31°41'59.951"" N",0032,629,312,317,28,22,27,20,43,44,24,19,19,9,10,227,62,39,23,516,1,0,1,14,15,16,3.62,3.27,3.93,0,0,0,237,103,526,165,17,17,8,125,6,23,91,020013805,Rural,15.5545,0,1,0,0,0,1,2011,1,1,-116.58798555555555,31.699986388888888
02,Baja California,001,Ensenada,3828,Ejido Delicias,"114°42'38.556"" W","30°41'15.003"" N",0025,76,38,38,2,2,2,3,5,5,0,2,13,6,7,21,0,0,0,0,4,2,2,3,24,0,8.64,8.79,8.46,0,0,0,31,17,59,31,0,4,7,2,0,13,17,020013828,Rural,35.1364,1,1,0,0,0,1,2011,1,1,-114.71071,30.687500833333335
02,Baja California,001,Ensenada,4444,El Morro,"115°11'13.000"" W","28°02'33.000"" N",0000,605,294,311,19,17,15,20,37,31,16,9,15,7,8,164,0,0,0,4,33,14,19,13,69,3,10.84,10.9,10.79,5,4,1,25,32,573,229,0,0,0,0,0,81,175,020014444,Rural,118.5772,1,1,0,0,0,1,2011,1,1,-115.18694444444445,28.0425
02,Baja California,001,Ensenada,4523,II Sección Ejido Esteban Cantú,"116°37'58.457"" W","31°41'41.737"" N",0044,245,123,122,4,14,7,7,19,17,7,4,15,8,7,79,0,0,0,0,0,0,0,16,36,3,9.67,10.04,9.29,1,0,1,34,78,167,99,1,3,12,7,1,55,67,020014523,Rural,14.0352,1,1,0,0,0,1,2011,1,1,-116.63290472222222,31.694926944444443
02,Baja California,001,Ensenada,4634,El Salitral,"116°36'19.601"" W","31°44'17.274"" N",0005,533,250,283,14,12,18,14,26,39,18,12,36,15,21,153,0,0,0,131,0,0,0,10,20,5,8.78,8.72,8.83,3,1,2,119,154,379,189,7,2,5,7,3,125,132,020014634,Rural,11.6024,0,1,0,0,0,1,2011,1,1,-116.60544472222222,31.738131666666668
02,Baja California,001,Ensenada,4638,Brisas del Mar [Colonia],"116°36'04.771"" W","31°45'37.125"" N",0001,58,24,34,0,1,2,1,0,6,1,3,5,4,1,14,0,0,0,0,0,0,0,0,4,0,7.52,7.29,7.74,0,0,0,30,19,39,25,3,6,12,1,0,12,11,020014638,Rural,5.2172,0,1,0,0,0,1,2011,1,1,-116.60132527777778,31.7603125
02,Baja California,001,Ensenada,4925,Balcones Cíbolas del Mar,"116°43'43.784"" W","31°54'09.188"" N",0018,152,64,88,2,9,2,5,5,5,0,4,39,13,26,32,0,0,0,0,0,0,0,8,26,0,13.76,13.26,14.17,1,0,1,34,48,104,129,2,0,0,4,0,41,54,020014925,Rural,10.193,1,1,0,0,0,1,2011,1,1,-116.72882888888888,31.90255222222222
02,Baja California,001,Ensenada,4973,Brechas el Mirador,"116°36'12.706"" W","31°41'00.463"" N",0091,247,112,135,7,6,8,5,12,19,6,9,21,6,15,72,3,3,0,74,5,2,3,19,33,3,7.7,7.73,7.68,0,0,0,49,68,179,93,5,1,9,5,0,61,58,020014973,Rural,20.5541,0,1,0,0,0,1,2011,1,1,-116.60352944444443,31.683461944444446
02,Baja California,001,Ensenada,5037,Colinas del Pedregal,"116°36'01.961"" W","31°40'43.603"" N",0156,130,59,71,7,8,4,3,9,11,3,4,11,5,6,49,1,1,0,63,14,6,8,11,13,7,5.81,6.11,5.58,2,0,2,20,37,93,81,1,21,18,22,0,28,15,020015037,Rural,17.9576,0,1,0,0,0,1,2011,1,1,-116.60054472222221,31.678778611111113
02,Baja California,001,Ensenada,5155,Coronel Esteban Cantú [Tercera Sección],"116°39'13.024"" W","31°42'45.542"" N",0025,31,17,14,1,0,0,0,1,1,1,0,10,4,6,4,0,0,0,0,0,0,0,2,2,0,9.48,10.29,8.62,0,0,0,7,7,24,42,0,0,2,0,0,12,15,020015155,Rural,10.4128,1,1,0,0,0,1,2011,1,1,-116.65361777777778,31.712650555555555
02,Baja California,001,Ensenada,5168,San Miguel,"116°36'49.411"" W","31°43'45.812"" N",0003,327,147,180,8,10,7,13,21,29,9,12,26,8,18,109,0,0,0,31,4,1,3,18,74,6,7.87,7.75,7.97,1,1,0,88,85,242,160,7,73,77,28,0,70,50,020015168,Rural,65.7024,1,1,0,0,0,1,2011,1,1,-116.61372527777777,31.72939222222222
02,Baja California,001,Ensenada,5170,Villa del Mar [Colonia],"116°36'19.051"" W","31°44'03.683"" N",0006,293,139,154,5,5,10,7,14,13,11,9,22,7,15,74,0,0,0,38,0,0,0,14,24,4,7.75,7.88,7.65,2,1,1,91,57,236,121,6,3,2,7,0,72,75,020015170,Rural,13.1373,0,1,0,0,0,1,2011,1,1,-116.60529194444445,31.73435638888889
02,Baja California,001,Ensenada,5287,Arce [Colonia],"116°35'35.140"" W","31°44'27.050"" N",0008,244,124,120,6,4,4,7,20,16,3,6,18,10,8,66,0,0,0,17,8,4,4,10,40,2,8.19,8.11,8.28,0,0,0,46,60,184,87,2,0,33,20,1,46,59,020015287,Rural,10.6412,0,1,0,0,0,1,2011,1,1,-116.59309444444445,31.74084722222222
02,Baja California,001,Ensenada,5460,Colonia Bienestar,"116°36'09.243"" W","31°45'34.159"" N",0004,93,49,44,4,1,4,7,9,7,2,5,6,2,4,39,0,0,0,0,0,0,0,4,5,0,8.28,8.37,8.17,3,0,3,17,37,56,27,1,6,15,2,0,12,16,020015460,Rural,3.8785,0,1,0,0,0,1,2011,1,1,-116.60256749999999,31.75948861111111
02,Baja California,001,Ensenada,5559,Colonia los Encinos [Hacienda],"116°34'30.211"" W","31°44'42.757"" N",0006,13,8,5,1,0,0,0,0,0,1,0,3,1,2,2,0,0,0,0,0,0,0,0,1,0,9.82,10.17,9.4,1,1,0,6,0,13,11,0,0,0,1,0,2,4,020015559,Rural,2.9285,0,1,0,0,0,1,2011,1,1,-116.5750586111111,31.74521027777778
02,Baja California,002,Mexicali,0284,San Felipe,"114°50'20.045"" W","31°01'22.513"" N",0010,17143,8340,8803,343,348,411,428,958,990,513,574,1819,889,930,4565,0,0,0,438,101,37,64,810,2119,199,9.58,9.77,9.41,84,23,61,2750,5533,11576,7194,118,145,223,146,82,2987,4762,020020284,Urbana,1103.633,1,1,0,0,0,1,2006,0,1,-114.83890138888889,31.022920277777775
02,Baja California,002,Mexicali,0412,Ejido Plan Nacional Agrario,"114°53'08.596"" W","31°04'55.952"" N",0049,808,388,420,11,12,15,17,45,36,23,16,140,65,75,175,0,0,0,5,1,0,1,56,214,16,9.51,9.77,9.29,2,2,0,208,173,635,596,3,10,8,7,5,164,278,020020412,Rural,231.4848,0,1,0,0,0,1,2006,0,1,-114.88572111111112,31.08220888888889
02,Baja California,002,Mexicali,0414,Playa del Sol,"114°52'09.058"" W","31°05'26.216"" N",0015,29,13,16,0,0,0,0,0,0,0,1,19,9,10,1,0,0,0,0,0,0,0,2,5,0,13.36,13.15,13.53,0,0,0,7,6,23,77,0,0,0,0,0,7,14,020020414,Rural,8.7369,1,1,0,0,0,1,2006,0,1,-114.86918277777777,31.090615555555555
02,Baja California,002,Mexicali,0417,Petes Camp El Paraíso,"114°53'28.731"" W","31°07'54.206"" N",0028,84,45,39,0,0,0,0,2,0,0,0,59,33,26,2,0,0,0,0,3,1,2,7,10,0,13.26,13.5,13,0,0,0,0,17,67,222,0,0,0,0,0,31,47,020020417,Rural,32.7077,1,1,0,0,0,1,2006,0,1,-114.89131416666667,31.13172388888889
02,Baja California,002,Mexicali,1343,La Hacienda,"114°46'37.709"" W","30°57'35.746"" N",0040,29,16,13,0,0,0,0,0,0,0,0,14,6,8,0,0,0,0,0,0,0,0,2,2,1,11.83,11.13,12.69,0,0,0,22,3,26,79,0,0,0,0,0,13,13,020021343,Rural,18.4654,1,1,0,0,0,1,2006,0,1,-114.7771413888889,30.959929444444445
02,Baja California,002,Mexicali,1350,Ventana del Mar,"114°53'57.563"" W","31°08'12.289"" N",0034,42,20,22,0,0,0,0,0,0,0,0,32,14,18,0,0,0,0,0,0,0,0,1,6,0,17,16.85,17.14,0,0,0,0,13,29,331,0,0,0,0,0,22,26,020021350,Rural,233.5916,1,1,0,0,0,1,2006,0,1,-114.89932305555556,31.136746944444443
02,Baja California,002,Mexicali,1365,Poblado las Minitas,"114°50'17.395"" W","30°58'34.828"" N",0020,451,211,240,12,18,16,19,24,33,12,13,34,17,17,147,0,0,0,10,0,0,0,19,94,8,8.81,9.2,8.45,4,1,3,98,69,347,188,1,1,0,1,0,70,114,020021365,Rural,78.347,0,1,0,0,0,1,2006,0,1,-114.83816527777778,30.97634111111111
02,Baja California,002,Mexicali,1623,Perlas [Campo],"114°53'30.263"" W","31°08'42.721"" N",0008,6,2,4,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,3,0,12,14,11,0,0,0,0,3,3,10,0,0,0,0,0,3,5,020021623,Rural,3.8155,1,1,0,0,0,1,2006,0,1,-114.89173972222223,31.14520027777778
02,Baja California,002,Mexicali,1694,El Dorado (Ejido Plan Nacional Agrario),"114°56'42.312"" W","31°08'37.950"" N",0091,113,57,56,0,0,0,0,0,0,0,0,95,48,47,0,0,0,0,0,0,0,0,6,20,1,14.32,14.61,14.02,0,0,0,12,29,84,256,0,1,0,0,1,54,65,020021694,Rural,2131.3298,0,1,0,0,0,1,2006,0,1,-114.94508666666667,31.143874999999998
02,Baja California,002,Mexicali,2940,Los Médanos (Ejido Plan Nacional Agrario),"114°55'35.775"" W","31°06'02.306"" N",0120,57,32,25,0,0,0,0,0,0,0,0,48,25,23,0,0,0,0,0,0,0,0,5,10,1,14.23,14,14.52,0,0,0,3,37,20,137,0,0,0,1,0,19,30,020022940,Rural,225.8414,0,1,0,0,0,1,2006,0,1,-114.92660416666668,31.100640555555557
02,Baja California,002,Mexicali,2966,Palos Verdes Norte y Sur,"114°54'28.607"" W","31°06'24.424"" N",0082,181,85,96,0,0,0,0,0,0,1,0,158,74,84,1,0,0,0,0,0,0,0,7,39,1,13.88,13.46,14.24,0,0,0,70,43,138,539,0,0,0,0,0,86,96,020022966,Rural,319.7101,0,1,0,0,0,1,2006,0,1,-114.90794638888889,31.106784444444447
02,Baja California,002,Mexicali,3029,Playa de Oro,"114°53'23.179"" W","31°07'08.020"" N",0036,35,19,16,0,0,0,0,0,0,0,0,31,17,14,0,0,0,0,0,0,0,0,4,11,0,14.37,14.58,14.13,0,0,0,0,10,25,85,0,0,0,0,0,15,20,020023029,Rural,29.6137,1,1,0,0,0,1,2006,0,1,-114.88977194444445,31.118894444444447
02,Baja California,002,Mexicali,3103,Rancho del Sol (El Dorado),"114°54'19.981"" W","31°07'19.512"" N",0057,51,27,24,0,0,0,0,0,0,0,0,43,24,19,0,0,0,0,0,0,0,0,2,14,0,14.2,14.78,13.54,0,0,0,3,10,41,107,0,1,0,0,0,27,33,020023103,Rural,60.5166,0,1,0,0,0,1,2006,0,1,-114.90555027777778,31.122086666666668
02,Baja California,002,Mexicali,4803,Misión los Sahuaros,"114°42'58.826"" W","30°54'36.124"" N",0019,12,4,8,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,1,0,13.5,13.25,13.63,0,0,0,9,0,12,62,0,0,0,0,0,5,6,020024803,Rural,10.0911,1,1,0,0,0,1,2006,0,1,-114.71634055555556,30.91003444444444
